variety,country,province,winery,price,points,expert wine description
Syrah,US,California,Foxen,48.0,93.0,"From the winery's dry-farmed vineyard comes this bottling with seamlessly integrated aromas of boysenberry, black-pepper sauce and black sesame. A tarry character kicks off the palate and then evolves into roasted lamb with lavender-pepper crust, dried mint and tarragon flavors. A soft and deftly sewn acidity hums throughout the sip."
Pinot Noir,US,California,Big Basin,48.0,93.0,"Cranberry, dried sage, sour cherry, thyme and dried chaparral shrubbery show on the nose of this wine from an oceanview vineyard near Ben Lomond. The palate is fairly lithe and bouncy with acidity, showing lots of crushed bay leaf and wild sage as well as underripe strawberry and richer cranberry notes."
Chardonnay,US,California,Tantara,48.0,93.0,"Salty lemon and ripe apple aromas combine for a very inviting nose that also shows pineapple and creamy lily scents on this bottling from a historic vineyard. A fine line of gunmetal tension runs down the middle of the palate, which opens toward a fuller-bodied wine with lots of lemon peel and butter flavors as well as a nicely chalky mouthfeel."
Syrah,US,California,Brecon Estate,48.0,93.0,"Done in the rich Paso style, this bottling shows fresh blackberry jam, crushed thyme, rosemary and vanilla on the seductive nose. The lavish palate offers espresso syrup, caramel and dense vanilla-laced blueberry. It's a great bottling for those who love a rich and decadent style."
Pinot Noir,US,California,Merry Edwards,48.0,93.0,"A blend from several of the producer's finest vineyards, including Georganne, Flax, Olivet Lane and Klopp, this offers complex notes of smoky lavender and licorice. Velvety texture underlies mouth-coating flavors of blackberry jam, pomegranate and cardamom, finishing tartly in acidity."
Nebbiolo,Italy,Piedmont,Cordero di Montezemolo,48.0,93.0,"Exotic spice, French oak, mature berry, menthol and a floral note are some of the aromas you'll find on this structured red. The ripe, chewy palate presents mature black cherry, raspberry compote, espresso, licorice and aromatic herb while firm fine-grained tannins provide support. Drink 2019–2027."
Pinot Noir,US,Oregon,Brooks,48.0,93.0,"The delightful palate puts rhubarb pie, strawberry jam and cherry compote in play. The wine, at first broad and openly fruity, keeps building upon itself, adding hints of cured meat, smoke and chocolate. Don't quit on it before the extended finish is completely played out; it won't quit on you."
Syrah,US,Washington,Mark Ryan,48.0,93.0,"Coming from one of the state's premier Syrah vineyards, this wine offers perfumed, intense aromas of boysenberry, tar, mineral, smoked meat and fresh flower. The palate boasts dense, seamless purple and black-fruit flavors that sail on the finish. It's a standout example of the variety."
Chardonnay,US,California,La Follette,48.0,93.0,"This impressively textured, focused and voluptuous wine offers well-defined flavors and aromas of honey, caramel and crisp Golden Delicious apple. Seamless and well balanced, it impresses from start to finish, with buoyant, supportive acidity at its core."
Chardonnay,US,California,Testarossa,48.0,93.0,"The fantastic nose pitches French toast together with Meyer lemon pith, crushed rock, struck match and a slight sour-cream element. This wine is immediately lively on the tongue, with lots of but not overdone acidity. Yeasty toast flavors are cut by lemon and poached pear on a racy and focused palate."
Syrah,US,California,Barbieri,48.0,93.0,"This bottling from a vineyard owned by the Fess Parker family is extremely gamy out of the gates, with raw lamb aromas lifted up by peppercorns and laid atop elderberry fruit. The lighter-bodied palate is framed by zesty acidity and a zippy pepper spice, with flavors of black currant and wild chaparral herbs."
Syrah,US,California,Ila,48.0,93.0,"This new project by wine bar owner Ash Mehta and winemaker Mary Bradley shows much promise, starting with woody elderberry, tar, black pepper and dense lavender on the buoyant nose. The sip starts with powerful pepper and then coalesces around cassis and black-currant fruit, a tarry minerality, dried herbs of thyme and juniper and a cocoa finish."
Riesling,Austria,Kamptal,Willi Brundlmayer,48.0,93.0,"Bründlmayer, one of Austria's most famed winemakers, finds that the lyre method of training the vine gives significantly more concentration. That's certainly true of this rich, full, intense wine, with its powering acidity and flavors of almonds, white currants and cranberries."
Riesling,Germany,Rheinhessen,Seebrich,48.0,93.0,"Sweet and slightly viscous in texture, this wine lacks some aromatic flourishes, sacrificing complexity for purity of its pineapple, apple and citrus flavors. Yet because of its balanced, crisp acidity, the wine still sings, finishing long and mouthwatering. Drink now–2030."
G-S-M,US,California,Big Basin,48.0,93.0,"Black and white pepper splash all over the aromas of the otherwise cherry meringue-driven nose of this blend of 39% Grenache, 33% Syrah, 26% Mourvèdre and 2% Viognier. It's light and airy on the palate, blending fresh strawberry fruit with a cornucopia of peppercorns. It provides a great example of how a fun, lively wine can be savorily serious as well."
Pinot Noir,US,California,Foxen,48.0,93.0,"A powerful, brooding nose of black cardamom and crushed clove melds with pomegranate and cherry, resulting in an incredibly aromatic wine that hails from a popular vineyard on the eastern edge of the appellation. The flavors are also quite deep—sour cherry, mocha, more clove—atop layers of bitter plum peels and refreshing acid."
Chardonnay,US,California,Barden,48.0,93.0,"There are light and airy elements of nectarine flesh and lemon blossoms on the nose of this first Chardonnay ever made by veteran Doug Margerum, who also imparts warmer scents of toast and clarified butter. The palate is tightly coiled, simultaneously soft with stone fruit and sharp with chalky texturality."
Chardonnay,US,California,Three Sticks,48.0,93.0,"Aged for a year in stainless-steel barrels, this wine is a combination of two vineyard blocks. The area planted to Old Wente 5 clone contributes zesty acidity and crisp apple; the V9 vineyard block is known for minerality. Acidity is balanced and the bouquet quite floral, with the palate devoted to brioche and golden honey."
Malbec,Argentina,Mendoza Province,Alta Vista,48.0,93.0,"Like all of Alta Vista's single-vineyard Malbecs, this is opaque in color and ripe on the nose. Aromas of balsamic-coated raisin, black cherry and chocolate scream ripe and rich. On the palate, this is saturated, with grabby tannins. Toasty blackened flavors of blackberry and pepper narrow down on a tight tannic finish. Drink through 2024."
Bordeaux-style Red Blend,US,Washington,Sparkman,48.0,93.0,"This wine is 67% Cabernet Sauvignon with the rest equal parts Merlot, Petit Verdot and Cabernet Franc. It's aromatic and fruit-forward, offering red plum, herbs, milk chocolate and floral accents. The fruit flavors are rich and focused, showing great depth and intensity with a palate-coating feel."
Sangiovese,Italy,Tuscany,Abbadia Ardenga,48.0,93.0,"Enticing aromas of woodland berry, violet, savory herb and a whiff of game lead the nose. The palate offers red berry, crushed raspberry, clove and grilled herb alongside firm but polished tannins. An anise note marks the finish. Drink 2020–2030."
Riesling,France,Alsace,Domaine Ostertag,48.0,93.0,"Rounded, rich and full in the mouth, this offers swathes of flowery, aromatic fruit that is still young, still in its primary stage. With just a hint of steely texture, the wine does have structure and aging potential. For now, it is generous and delicious."
Riesling,France,Alsace,Domaine Zinck,48.0,93.0,"With the first hints of maturity on the nose, this is already a rounded and steely wine. The fruit shows as spiced apples and black currants, cut with intense citrus. But the fruit is giving way to a very precise, crisp and nervy wine that could still age further. For its best, drink from 2018."
Pinot Noir,US,Oregon,Patricia Green Cellars,48.0,93.0,"Fruit from the oldest blocks in this pioneering vineyard is sourced here. It's bright, spicy and focused, with forward citrus-scented Bing cherry flavors. The concentration and length are outstanding, with just the lightest suggestion of green herbs rounding out the finish."
Chardonnay,US,Oregon,Ayoub,48.0,93.0,"The fruit is sourced from the Thistle and Hyland estate vineyards. It's an intense, concentrated wine, with a complex mix of mineral, lime, apple and light tropical fruit. It's textural, creamy and impressively long."
Port,Portugal,Port,Dow's,48.0,93.0,"This opulent wine is very ripe. From Dow's flagship vineyard, it is a sweeter wine than many of its kind, showing a caramel note and soft tannins. Within all of its sweet fruit is a firm, dry, structured core."
Gewürztraminer,France,Alsace,Domaine Zinck,48.0,93.0,"Rich and opulent, this is a gorgeously perfumed, sweet wine. The Eichberg vineyard produces opulent wines, and this is no exception. A touch of honey matches the intense spiciness and general sense of flamboyance. It's a ripe wine, while still structured and dense. Drink from 2017."
Tempranillo,US,California,Six Sigma Ranch,48.0,93.0,"Rustic but fascinating earthy and herbaceous aromas join rich dark fruit flavors in this voluptuous wine that's delicious now but best after 2020. It has full body, dense but melted tannins, and an array of spice, mineral and tobacco nuances that build with each sip and linger on the finish."
Nebbiolo,Italy,Piedmont,Anna Maria Abbona,48.0,93.0,"Aromas of underbrush, scorched earth, game, woodland berry and a balsamic note lead the nose. The youthful, tightly wound palate offers black cherry, crushed raspberry, anise, chopped herb, clove and tobacco alongside firm, noble tannins and bright acidity. Oliver McCrum Wines and Petit Pois."
Pinot Noir,US,California,La Pitchoune,48.0,93.0,"Light, floral and brimming in exotic Asian spice, this wine offers length and breadth in an expression of elegance and balance. Orange, pomegranate and red cherry dance around a circle of rose petals, providing succulence and beauty."
Chardonnay,US,California,McIntyre Vineyards,48.0,93.0,"Ripe aromas of lemon curd, almond and butter make for a showy intro to the nose of this wine, but it is quickly focused by sharper pear and pineapple fruit. The rich palate shows all the classic Cali Chardonnay components of butter, cooked apple and crushed cashew, all expertly measured and in balance."
Chardonnay,US,California,Testarossa,48.0,93.0,"This is a dynamic wine, showing Key lime, yellow apples, oak smoke, butter, tangerine pith, macadamia nut and sea salt on the nose. The palate is streamlined with lime pith, lemon rind and seared pineapple flavors."
Pinot Noir,US,Oregon,Elizabeth Chambers,48.0,93.0,"Elegance is a hallmark of the winery's Pinots, and even this one, registering 15% alcohol, manages to keep from tasting overblown. It's thick and rich, for sure, loaded with cherry and plum fruit, with pepper, clay, Asian spices and dark chocolate. Lazy River is one of the components of the Winemaker's Cuvée, which is a lovely comparison companion bottle."
Chardonnay,US,California,FEL,48.0,93.0,"Savory in aroma, richly fruity and accented with butter and vanilla, this wine has a complete package of flavors and an expert balance to accompany its creamy viscosity. It combines lightly toasty, earthy notes with generous pear and citrus flavors in a way that's unusual and compelling. Best after 2020."
Pinot Noir,US,Oregon,Domaine Divio,48.0,93.0,"Smooth as silk and soft as butter, this glides across the palate in a smoky, sexy and seductive manner. Butter and berry, black cherry and a finishing flourish of chocolate nibs, capped with espresso, give this a complete start-to-finish set of flavors. Drink now and over the next decade."
Red Blend,US,California,Jamie Slone Wines,48.0,93.0,"Focused aromas of blackberry, elderberry and black currant show on the nose of this blend of 72% Cabernet Sauvignon, 24% Syrah and 4% Cabernet Franc, which also offers hints of leather, nettle and caramel on the nose. It's lively on the palate, with black raspberry, rose petals and violets, framed by a vibrant acidity and worthy structure."
Pinot Noir,US,Oregon,Patricia Green Cellars,48.0,93.0,This was half whole cluster-fermented and neatly incorporates hints of earth and bark into its tart cranberry and pie cherry core. Its verticality and tannic power suggest it will age quite nicely through the late 2020s.
Pinot Noir,US,Oregon,Patricia Green Cellars,48.0,93.0,"There are multiple Freedom Hill selections in this winery's 2015 lineup, but the Pommard clone bottling expresses more of the site's brambly wildness along with its lusciously fruity raspberry flavors. Texture and length elevates it above much of the competition."
Pinot Noir,US,California,Patz & Hall,48.0,93.0,"Juicy and earthy, this lovely appellation wine is voluptuous with a spicy thread. Blueberry and huckleberry fruit meld seamlessly into savory bites of tree bark and forest as the whole offers length and breadth."
Pinot Noir,US,California,Buena Vista,48.0,93.0,"Juicy, fresh and lively, this is a light-bodied effort with a big presence on the palate in terms of rich mouthfeel and velvety tannin. Blueberry, cherry and a pronouncement of forest floor play well together to offer both savory and fruit-tinged sweet."
Syrah,US,California,Lorenzi Estate,48.0,93.0,"This is one of the better Temecula Valley wines in recent memory, with dried blackberry, leather, tar and condensed purple flowers on the nose. There's a kiss of herbs upfront on the palate, followed by layers of tangy boysenberry, caramel and salt and pepper flavors. The structure is apparent but not in the way, and the acidity is lively."
Riesling,Germany,Mosel,Maximin Grünhäuser,48.0,93.0,"While subdued on the nose and delicate in body, this dry yet honey-slicked wine overflows with concentration and power. Pristine, ripe grapefruit and lemon flavors flood the palate, catapulted by tart tangerine acidity and earthy touches of pollen and crushed minerals. The steely finish lingers long."
Bordeaux-style Red Blend,US,Washington,DeLille,48.0,93.0,"This wine is a blend of Merlot (58%), Cabernet Sauvignon (36%), Cabernet Franc (5%) and Petit Verdot. Vibrant aromas of cherry meats, raspberry, dried herb and barrel spice are followed by a fruit-forward flavorful palate backed by firm tannins. It has a high yum factor."
Pinot Noir,US,Oregon,Brittan Vineyards,48.0,93.0,"The aromatics immediately capture your attention, mixing baking spices with fennel, wet rock, and ginger cake. Compact, young, fresh fruit flavors suggest pomegranate, wild raspberry and very tart cherries. This is an acid-lover's wine, with the structure to age for decades."
Port,Portugal,Port,Croft,48.0,93.0,"Wonderfully floral, this wine is rich while also having great fruits, a fresher edge and tannins that caress. From the Croft home vineyard, it shows fullness and structure. The aftertaste is so fruity and fragrant, it's almost drinkable now. Wait, though, until 2020."
Sangiovese,Italy,Tuscany,Lunadoro,48.0,93.0,"As its name suggests, Tradizionale is classically crafted. Aged in large French casks, this has alluring fragrances of violet, plum and black pepper, while the palate delivers black cherry and tobacco flavors layered with carob notes. It's nicely balanced, with soft tannins and fresh acidity."
Pinot Gris,US,Oregon,Archery Summit,48.0,93.0,"This wine is rich and expressive, with the grip and texture of a fine Chardonnay—but it's Pinot Gris. Roughly half was fermented in a concrete egg; the rest in stainless steel and one new acacia barrel. The fruit is fleshy but not fat, crisply defined with exceptional phenolic details of citrus skin. The underlying minerality further frames the ripe, tangy fruit, and the three-dimensional flavors expand and extend through a lingering finish."
Pinot Noir,US,California,Black Kite,48.0,93.0,"A beautiful trio of fruit flavors—red cherry, rhubarb and raspberry—provides harmony in this vivid and pure-tasting wine. The freshness and clarity of the fruit elements is well backed by lively acidity and moderate tannins to keep it clean and appetizing from first sip to last."
Zinfandel,US,California,Scott Harvey,48.0,93.0,"This is a great example of a dry well-balanced Zin to drink with dinner rather than as a sweet dessert. It's also a taste of history, coming from a vineyard originally planted in 1869. It's medium bodied, nicely structured with firm tannins and has aromatic complexity from cedar, tobacco and cardamom notes, plus delicious just-ripe cherry flavors."
Grenache,US,California,Barbieri,48.0,93.0,"This extremely aromatic bottling shows cola, dark red cherry, black plum, nutmeg, cinnamon and concentrated hibiscus on the nose, which remains light despite all of the aromas. The acid-driven zippy wine leaps onto the palate with exotic plum and mulberry flavors, proving quite amazing in how so many flavors can ride such a light frame."
Pinot Noir,US,California,Flying Goat Cellars,48.0,93.0,"Winemaker Norm Yost racks up bundles of sagebrush, wild mint and all manner of fresh-cut chaparral on the nose of this stellar bottling, which comes from a vineyard on one of California's longest-held ranchos. The herbally driven palate mixes black and green olives with fresh raspberry juice and black pepper."
Tempranillo,Spain,Northern Spain,Amador Garcia,48.0,93.0,"Potent and raring to go, with lots of young oak and intense fruit that causes the wine to change in the glass in the blink of an eye. What we can tell at this early point of development is that it is saturated, healthy, balanced and clean. There's vibrancy and full tannins, with lip-smacking acidity. Already a good one to ponder, but should be even better from 2009–2011. Just 750 cases made."
Cabernet Sauvignon,US,Washington,Walla Walla Vintners,48.0,93.0,"The Vineyard Select is made only on occasion. As in 2006, the cuvée includes a splash of Petit Verdot. From the extraordinary 2007 vintage, this wine has it all: depth, polish and panache. The richly fruity nose brings on the berries and cherries; they fill the palate and add layers of fig, plum, chocolate and coconut."
Riesling,Germany,Mosel,Joh. Jos. Prüm,48.0,93.0,"Orange rind and exotic spices lend a mysterious appeal to ripe, rich flavors of melon, mango and peach on this intoxicating, unctuous Riesling. It's sunny and sweet on the palate, but tart tangerine acidity makes it refreshingly thirst quenching."
Riesling,France,Alsace,Domaine Ostertag,48.0,93.0,"Spice-edged, rounded notes of ripe Mirabelle with playful, teasing topnotes of peach beckon from the glass. This aromatic, fruitful charm also fills the palate where a bright core of lemon freshness provides verve and structure that also suggests stones and rock. Purity and clarity lets those peachy notes dance all the more. It has an exquisite, joyful, light touch with a dry finish."
Syrah,US,California,Chamisal Vineyards,48.0,93.0,"There's tremendous black-fruit density present on the first whiff of the wine, with olallieberry jam and milk chocolate dusted with clove powder, yet also a graphite-driven lightness. The palate rides the line expertly between ripeness and tartness, with fresh boysenberry flavors and dried oregano, altogether excellently spiced."
Pinot Noir,US,California,Flying Goat Cellars,48.0,93.0,"This single-vineyard bottling comes from Pinot Noir expert Norm Yost. Baking spices and cinnamon greet the nose, followed by sweet-tart boysenberry and freshly turned soil. On the palate, black licorice leads, followed by an impressively smooth, black cherry-laden midpalate, ending with tantalizing spices on the back end."
Pinot Noir,US,California,Londer,48.0,93.0,"A rich, earthy Pinot bright in red and blue fruit and an herbal note in the distance, Londer's estate-grown Pinot is a marriage of site, style and vintage. Lightly textured with soft edges and complexity to spare, it should pair well with bacon and goat cheese quiche."
Syrah,US,Washington,Sparkman,48.0,93.0,"Dark and dense, without turning fat or heavy, this excellent Ruckus captures the underlying minerality of Red Mountain grapes. There's boysenberry and black cherry fruit, black coffee and wet rock. This is built for aging."
Pinot Noir,US,California,Phillips Hill,48.0,93.0,"Bold and flavorful without feeling overtly ripe or sweet, this wine has a lot to say. It's complex and spicy, smelling of cardamom, nutmeg and rosemary—a possible result of its 25% whole-cluster fermentation. Red cherry, rhubarb and pomegranate flavors are bracing and fresh, while the texture is firm and moderately tannic. It's cellarable and will be best after 2018."
Gewürztraminer,France,Alsace,Domaine Bott-Geyl,48.0,93.0,"This is an intensely rich wine, opulent although with a sense of texture and a drier core. It's a full bodied, generous wine, fruity and structured. As a contrast, a surprising streak of fresh acidity brings an apple character to the more tropical fruit flavors. The wine should age, so drink from 2017."
Chardonnay,US,California,Iron Horse,48.0,93.0,"Steely in wet stone and high-toned citrus, this Chardonnay is from Hyde-Old Wente clones and deftly made in a light style that doesn't skimp on delicious complexity. Apple and herb figure prominently, as does a remarkable mouthfeel of minerality, a testament to the winery's cool growing sites."
Chardonnay,US,California,Stony Hill,48.0,93.0,"This producer is well respected for its long reputation of making ageworthy whites and this vintage is no exception, a bright, complex and nutty expression of pear and ginger cookie. Textured and restrained, it shows a wealth of structure and lemony acidity. Cellar it away until 2024 if you can."
Pinot Noir,US,California,Villa Oneiro,48.0,93.0,"This wine from the Palos Verdes coastline is redolent with sagebrush, crushed anise and alpine strawberries on the herbally aromatic nose. The sage also powers the palate, alongside juniper and pine, all set against a wild berry frame. This is a big Pinot, though it is relatively light in structure and happily reliant on savory herbs rather than overly ripe fruits."
Cabernet Sauvignon,US,Washington,Walla Walla Vintners,48.0,93.0,"The 10% Petit Verdot stiffens up the tannins and has a lovely violet-scented floral component that counterpoints the cassis and black cherry fruit. It's a young, tight and beautifully crafted wine that has barely come out of the barrel; it's still shut down and shy. But all the right stuff is there for a long-lived, elegant and silky wine with great breed and style."
Pinot Noir,US,California,Small and Tall,48.0,93.0,"Winemaker Joanne Duray taps the Garey Vineyard for this complex aromatic show of drying rose petals, dried cranberry, turned earth, iron, wet sage and dank mushrooms on the nose. The palate boasts a strong herbal front of oregano, thyme and marjoram, with tight cranberry fruit proving light, airy and refreshing on the palate."
Syrah,US,California,Stolpman,48.0,93.0,"Bright and zesty notes of boysenberry, cola, uncracked peppercorns and lilac show on the nose of this bottling by winemaker Sashi Moorman and grower Ruben Solorzano. Purple flowers, from lavender and violets to dark red rose petals, flavors the palate alongside tangy boysenberry fruit and black plum skins, hanging on a solid structure that will last for years. Drink 2017–2028."
Pinot Noir,US,California,Talisman,48.0,93.0,"An exuberantly juicy and fulfilling wine, this designate from a site near Lovall Valley is awash in blackberry and blueberry, showing off healthy waves of concentration and structure. Spicy cinnamon and orange peel dot the landscape before a punch of tannin and vanilla oak close out the finish."
Zinfandel,US,California,Limerick Lane,48.0,93.0,"Thick, rich and intensely velvety, 1910 Block is structured and surprisingly elegant, with developed acidity surrounding a taste of chocolate-covered strawberry. Leather and black pepper give it a burly robustness that complements the ripe fruit, while the tannins come off as dusty and rocky at the same time."
Pinot Noir,US,California,Couloir,48.0,93.0,"This has a classic, lighter red color and equally classic aromas of red cherry, sour cherry, black tea, lightly toasted oak and a touch of forest floor. Generous cherry and plum flavors are perfectly balanced with crisp acidity and fine-grained tannins. It's not a big wine, but a vivid, polished and memorable one."
Pinot Noir,US,Oregon,Sineann,48.0,93.0,"This vintage will be the last Resonance bottling under the Sineann label, as the vineyard has been sold to Burgundy's Louis Jadot. This delicious, ripe, detailed wine bursts with mixed red fruits. It's a lovely way to say goodbye, good luck and bon chance with the new owners. The perfectly ripened fruit is accented with toast, sandalwood and mocha as it heads into a deep, concentrated and lingering finish."
Chardonnay,France,Burgundy,Jean-Luc and Paul Aegerter,48.0,93.0,"This is a tightly structured wine, taut with intense minerality and acidity. It has green fruit and citrus flavors filled out with toast and a creamy texture. The aftertaste, with its tangy minerality, shows the wine will age. Drink from 2020."
Pinot Noir,US,California,August West,48.0,93.0,"Bright and peppery with spice, this bottling from Ed Kurtzman delivers all that's lovable about Pinot Noir in a fresh, light style. Its raspberry fruit is accented and lifted by bay leaf, thyme and white pepper notes, with a saline hint of kalamata olive. That boundless energy continues on the palate, where crisp pomegranate blends with marjoram."
Red Blend,US,California,Parrish Family,48.0,93.0,"This eye-opening blend of 60% Cabernet Sauvignon and 40% Petite Sirah is dark and sexy in color, showing aromas of black cherry, sarsaparilla and black tobacco on a densely complex nose. It is soft and lush on the palate, with caramelized blueberry and black-cherry flavors, boosted by a touch of smoked meat."
Portuguese Red,Portugal,Alentejo,Cartuxa,48.0,93.0,"This is a serious, concentrated wine that is full of generous fruit and structure. Alongside this weight, there is a lighter, juicier side from vibrant acidity. The main thrust though is concentrated tannins that are still developing. The aftertaste is dense and shows the wine needs to age. Drink from 2019."
Pinot Noir,US,California,Bailarin,48.0,93.0,"This new brand from the folks behind Suacci Carciere is a study in cool-climate austerity and elegance. A tangle of savory herb and Asian spice seasons soft, lean layers of strawberry and pomegranate. Bright and full of verve, it's a food-friendly, complex wine from a producer worth watching."
Tempranillo,US,California,Baiocchi Wines,48.0,93.0,"Meaty, slightly earthy aromas are tempting, and the flavors expand with gobs of rich black plum and blackcurrant. This wine from a rising star in the Sierra Foothills has serious structure and full body, blanketed in fine tannins and encouraging the flavors to linger on the finish. Drink after 2018."
Pinot Noir,US,Oregon,Big Table Farm,48.0,93.0,"Among a fascinating array of low-alcohol Pinots from this producer, this is the standout. Bright, tart raspberry fruit, immaculately clean and refreshing, is backed with crystalline minerality. There's a touch of wet cement and a persistent, engaging finish."
Bordeaux-style Red Blend,US,Washington,Mark Ryan,48.0,93.0,"This could be labeled Merlot, which comprises three-quarters of the Bordeaux-style blend. Big, bold, dark and intensely aromatic, it's a bit tight and tannic at first, but opens gracefully into well-layered, powerfully-structured flavors of violets and smoke, cherries and chocolate. Highlights of ground coffee and graphite extend through the finish."
Syrah,US,Washington,Mark Ryan,48.0,93.0,"Most of this wine hails from Force Majeure Vineyard, with Olsen in the Yakima Valley filling it out. Aromas of crushed granite, blackberry, wood spice and herbs are followed by vibrant red and black-fruit flavors that display depth and finesse. The finish carries."
Chardonnay,US,California,Sbragia,48.0,93.0,"With a touch of reduction from its 18-month maturation in new French oak, this wine is concentrated and youthful, still unwinding. Tangerine and peach flavors contrast with the more expected bite of apple, while moderate acidity brings freshness to the full-bodied nature of this rich, rewarding white."
Rhône-style Red Blend,US,California,Paix Sur Terre,48.0,93.0,"Sexy, luscious aromas of buttered plums and seared beef fat invite the nose on this blend of 70% Syrah and 30% Mourvèdre, which proves more delicate than brawny. Beef char and blackberry paste power the palate, but it coalesces around a focused line of licorice and graphite."
Rhône-style Red Blend,US,California,Paix Sur Terre,48.0,93.0,"Lilac and violet hang with blackberries, black plums and sweet mocha on this purple chiffon-cake scented wine  from winemaker Ryan Pease. The blend of 55% Grenache, 30% Mourvèdre, 12% Syrah and and 3% Counoise is full and silky on the palate, with olallieberry fruits, proving juicy but not jammy or overpowering."
